,Model_1,Model_2,Model_3,Model_4,Model_5
Technique_A,0.3509040985978915,0.21076996967932873,0.37872916566399895,0.49195557781020016,0.5884313684123084
Technique_B,0.9819114021942434,0.8870135688135512,0.9753368963473449,0.853721287168205,0.8704252146148406
Technique_C,0.9831957947951823,0.9560467620041575,0.9822835869505738,0.9398692268591435,0.9472229456080518
Technique_D,0.9858822794499161,0.9583436402078866,0.9876064173809507,0.9884684863464679,0.9795231795894874
Technique_E,0.9794993957622264,0.8939538972841936,0.97494728989634,0.8585716550840692,0.8672424836183328
